IPC ,IPC SAE e IPC sin volátiles, variación anual, información histórica;;;
FECHA;IPC General;IPC SAE;IPC sin volátiles
;Serie original;Serie original;Serie original
01/01/1975;375,1;--;--
01/02/1975;344,8;--;--
01/03/1975;371,9;--;--
01/04/1975;394,3;--;--
01/05/1975;427,4;--;--
01/06/1975;422,9;--;--
01/07/1975;412,5;--;--
01/08/1975;403,3;--;--
01/09/1975;387,4;--;--
01/10/1975;344,4;--;--
01/11/1975;338,2;--;--
01/12/1975;340,7;--;--
01/01/1976;327,3;--;--
01/02/1976;303,5;--;--
01/03/1976;278,2;--;--
01/04/1976;250,4;--;--
01/05/1976;231,9;--;--
01/06/1976;211,3;--;--
01/07/1976;210,1;--;--
01/08/1976;200,3;--;--
01/09/1976;195,8;--;--
01/10/1976;191,2;--;--
01/11/1976;179,5;--;--
01/12/1976;174,3;--;--
01/01/1977;163,0;--;--
01/02/1977;152,9;--;--
01/03/1977;136,3;--;--
01/04/1977;121,1;--;--
01/05/1977;109,0;--;--
01/06/1977;92,3;--;--
01/07/1977;83,5;--;--
01/08/1977;79,9;--;--
01/09/1977;73,4;--;--
01/10/1977;69,3;--;--
01/11/1977;66,7;--;--
01/12/1977;63,5;--;--
01/01/1978;57,2;--;--
01/02/1978;52,1;--;--
01/03/1978;47,5;--;--
01/04/1978;44,6;--;--
01/05/1978;42,2;--;--
01/06/1978;40,4;--;--
01/07/1978;38,5;--;--
01/08/1978;37,7;--;--
01/09/1978;36,6;--;--
01/10/1978;33,5;--;--
01/11/1978;32,4;--;--
01/12/1978;30,3;--;--
01/01/1979;30,8;--;--
01/02/1979;29,8;--;--
01/03/1979;29,7;--;--
01/04/1979;29,7;--;--
01/05/1979;30,2;--;--
01/06/1979;30,8;--;--
01/07/1979;32,2;--;--
01/08/1979;34,7;--;--
01/09/1979;36,1;--;--
01/10/1979;36,8;--;--
01/11/1979;37,9;--;--
01/12/1979;38,9;--;--
01/01/1980;38,8;--;--
01/02/1980;39,0;--;--
01/03/1980;39,2;--;--
01/04/1980;39,1;--;--
01/05/1980;38,9;--;--
01/06/1980;38,1;--;--
01/07/1980;35,9;--;--
01/08/1980;32,7;--;--
01/09/1980;30,4;--;--
01/10/1980;31,0;--;--
01/11/1980;31,6;--;--
01/12/1980;31,2;--;--
01/01/1981;30,6;--;--
01/02/1981;28,6;--;--
01/03/1981;26,0;--;--
01/04/1981;24,4;--;--
01/05/1981;23,2;--;--
01/06/1981;21,0;--;--
01/07/1981;19,3;--;--
01/08/1981;18,1;--;--
01/09/1981;16,8;--;--
01/10/1981;13,8;--;--
01/11/1981;11,1;--;--
01/12/1981;9,5;--;--
01/01/1982;8,5;--;--
01/02/1982;7,3;--;--
01/03/1982;7,0;--;--
01/04/1982;5,6;--;--
01/05/1982;3,7;--;--
01/06/1982;4,2;--;--
01/07/1982;5,7;--;--
01/08/1982;7,8;--;--
01/09/1982;11,3;--;--
01/10/1982;16,3;--;--
01/11/1982;20,0;--;--
01/12/1982;20,7;--;--
01/01/1983;22,0;--;--
01/02/1983;23,1;--;--
01/03/1983;24,9;--;--
01/04/1983;28,7;--;--
01/05/1983;31,2;--;--
01/06/1983;32,3;--;--
